Author,Date,Text,Location,TweetedFromLocation,RetweetStatus,RetweetCount
Stephanventer15,2019-11-05 22:56:51,"RT ANT159694954 PLDT GLOBAL Corp. PGC has partnered with remittance firm I Remit, Inc. to offer its mobile phone app payment service to",South korea,Nan,False,0
RCMPCSM_SMCGRC,2019-11-05 22:56:51,"RT rcmpgrcpolice There is a need to prioritize women's full and equal participation in conflict resolution, peace building and peacekeep",nan,Nan,False,0
Kamanchii,2019-11-05 22:56:51,RT SimsVIP TWITTER GIVEAWAY Follow amp RT for a chance to win one of FIVE TheSims4 Discover University codes There will be 5 differe,California,Nan,False,0
welles,2019-11-05 22:56:52,"RT Speedtest Surprise Qubec City, Qubec has the fastest average mobile download speeds, coming in at 76.63 Mbps. Take a look at the fu",Where Homeless Vikings Live ,Nan,False,0
enightan,2019-11-05 22:56:52,"RT sammygigs1 ""I'm very happy that I've finished secondary school cos I'm now done with the stressful part of education"" University htt",Nigeria,Nan,False,0
SleepyLizzle,2019-11-05 22:56:52,"RT ab covington I spent 3 years reporting this story about a single black professor's turbulent 50 year relationship with a conservative,",Western New York,Nan,False,0
HedgeSpain,2019-11-05 22:56:52,RT spectatorindex Best countries to travel alone 1. Spain 2. Italy 3. NZ 5. Australia 7. Brazil 8. Ireland 12. Canada 13. Mexico 17. Fr,Madrid Spain Europe,Nan,False,0
mister_propoli,2019-11-05 22:56:52,RT ClaraPonsati Spanish justice wants my extradition. My crime Letting people vote. The Spanish Supreme Court has sentenced my colleague,United States,Nan,False,0
HartlineLindsey,2019-11-05 22:56:52,Congrats to Trevian on his acceptance letter to Lamar University I am so proud of him and know that he has a v ,"Humble, TX",Nan,False,0
LONGDICKLUKAS,2019-11-05 22:56:52,"i'm sorry, costco canada",baby hanging station,Nan,False,0
sanjayranjan,2019-11-05 22:56:52,"RT sairasameerarao Everyone at the University of Virginia still refers to Thomas Jefferson as Mr. Jefferson, which tells you all you need",nan,Nan,False,0
NSFreePress,2019-11-05 22:56:53,"Gender identity, fashion, tumultuous relationships and immigration were all themes of films presented at a New Scho ","New York, NY",Nan,False,0
AZTbiowine,2019-11-05 22:56:53,"RT angus davison ""We obtained whole genome shotgun sequences of all 845 butterfly species recorded from the United States and Canada"" htt","Madrid, Spain",Nan,False,0
micky_garrod,2019-11-05 22:56:54,RT DoktoberfestLDN Welcome to the official DOKTOBERFEST Instagram page Brought to you by awesomegroup the creators of londoncitybe,nan,Nan,False,0
keithbanzhaf,2019-11-05 22:56:54,RT John Fogerty Canada Vegas. We cant wait to get back on the strip to rock the wynnlasvegas. Have you been to Johns show t,nan,Nan,False,0
DawnRoseTurner,2019-11-05 22:56:54,"RT RobynWins111 You may have to hit the translate button, but this says a Montreal city council member has pulled back her claim of being","Comox Valley, BC",Nan,False,0
ACRMartsneuro,2019-11-05 22:56:54,RT ACRMCancerRehab ACRM functions as powerful glue that joins together professionals from all diagnostic areas and disciplines Sue A,"Reston, VA",Nan,False,0
GRTyler19,2019-11-05 22:56:54,University of Kentucky students' newspaper denied access to Trump rally ... at Rupp Arena via courierjournal,"Louisville, KY",Nan,False,0
blkphnxzen,2019-11-05 22:56:55,"RT ProfBlacktruth Everyone says they're upset about the racial porn Harriet."" Well the University of Texas in Austin is hosting that scre","Brooklyn, NY",Nan,False,0
legs_bow,2019-11-05 22:56:55,RT lamphieryeg Scheer's climate change plan included using Cdn technology to help high emissions countries like India reduce their emissi,Central Alberta,Nan,False,0
khrystceline_,2019-11-05 22:56:55,RT bamaquino Talked about inclusive growth and the role of our youth in government amp business leadership at the Business Week of San Beda,nan,Nan,False,0
tsukiyunki,2019-11-05 22:56:56,"RT ellendrawings I havent drawn in a long time watercolor portraits, probably more than 2 years.Took cheapest materials, and didnt expect",nan,Nan,False,0
Just_CallMeMy,2019-11-05 22:56:56,RT ABC Police are asking for help locating a 21 year old Clark Atlanta University student who vanished last week. ,404,Nan,False,0
RachClarkeexx,2019-11-05 22:56:56,RT PomSabrecats Some of our girls are taking part in the Spiderwalk this Thursday The Spiderwalk is a 13 mile night walk for the univers,Mansfield Sheffield ,Nan,False,0
269ThiccBttm,2019-11-05 22:56:56,"RT mikeeypup Sorry I havent been very active today, Im about to cross the border back into Canada. Im tired, annoyed and a little sad",Kalamazoo ,Nan,False,0
BerstlerDana,2019-11-05 22:56:56,"RT HenningCella ""Extending the Flipped Classroom Approach Using Technology in Module Delivery to Students of English Language and Litera",nan,Nan,False,0
dav1dhyde,2019-11-05 22:56:57," stevebowen12 There was also themed days, which could have led more people to forgo repping their university. Dis ",nan,Nan,False,0
scholarshipja,2019-11-05 22:56:57,"Rejected Angry UTech staff maintain strike, ponder legal action. Unionised academic staff of the University of Tec ","Kingston, Jamaica",Nan,False,0
Chris_Ellisor,2019-11-05 22:56:58,"We are starting 5 minutes early, but the Lander University Blue Gold World Series Draft has begun ","Greenwood, SC",Nan,False,0
1julie,2019-11-05 22:56:59,"RT miss mcinerney Also, it now appears he went to a sixth form college Which, if we allow it as FE, makes him the first edu sec to atten",Devon,Nan,False,0
theharpoonman,2019-11-05 22:56:59,October was rain free. Is California heading for another drought ,"Columbia, California",Nan,False,0
USCPF,2019-11-05 22:57:00,Less than a third of Canadians view China favorably poll Article AMP Reuters ,"Washington, DC",Nan,False,0
aashleyygarciaa,2019-11-05 22:57:00,RT jaw cee Anyone else a first gen college student thats being guilted into staying close to home instead of going to a better universit,nan,Nan,False,0
