Total number of documents,496
Search query,Document Containing Term (df),Total documents(N)/number of documents term  appeared (df),Log10(N/df)
Canada,151,3.28,0.52
university,126,3.94,0.6
dalhousie university,11,45.09,1.65
halifax,54,9.19,0.96
canada education,2,248.0,2.39
